groups,x,pos,lab
0,NA,+,1
19.98,21,+,1
39.96,18.5,+,1
59.94,19,+,1
79.92,18,+,1
99.9,20,+,1
119.88,19,+,1
0,NA,+,2
19.98,NA,+,2
39.96,NA,+,2
59.94,NA,+,2
79.92,NA,+,2
99.9,NA,+,2
119.88,NA,+,2
0,NA,-,3
19.98,NA,-,3
39.96,NA,-,3
59.94,NA,-,3
79.92,NA,-,3
99.9,NA,-,3
119.88,NA,-,3
0,NA,+,4
19.98,NA,+,4
39.96,NA,+,4
59.94,40.3,+,4
79.92,40.3,+,4
99.9,41.2,+,4
119.88,40.3,+,4
0,NA,+,5
19.98,NA,+,5
39.96,NA,+,5
59.94,NA,+,5
79.92,NA,+,5
99.9,NA,+,5
119.88,42.5375,+,5
