groups,x,pos,lab
0,NA,+,1
19.98,1.6,+,1
39.96,1.75,+,1
59.94,1.75,+,1
79.92,1.75,+,1
99.9,1.5,+,1
119.88,1.3,+,1
0,NA,+,2
19.98,NA,+,2
39.96,3.7,+,2
59.94,5.2,+,2
79.92,5.2,+,2
99.9,5.2,+,2
119.88,5.2,+,2
0,NA,-,3
19.98,3.7,-,3
39.96,5.8935,-,3
59.94,6.8505,-,3
79.92,7.3975,-,3
99.9,7.944,-,3
119.88,8.559,-,3
0,NA,-,4
19.98,NA,-,4
39.96,NA,-,4
59.94,9.722,-,4
79.92,10.201,-,4
99.9,10.406,-,4
119.88,10.2695,-,4
