"";"1";"2";"3";"4";"5";"6";"7";"8"
"A";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.020";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.025";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.032";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.040";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.050";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.063";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.079";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.100"
"B";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.020";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.025";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.032";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.040";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.050";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.063";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.079";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.100"
"C";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.020";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.025";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.032";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.040";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.050";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.063";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.079";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.100"
"D";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.126";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.158";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.199";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.251";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.316";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.397";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.500";"blank;Glc:119.880;Ace:0.000;aTc:0;inoc:0.000"
"E";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.126";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.158";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.199";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.251";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.316";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.397";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.500";"blank;Glc:119.880;Ace:0.000;aTc:0;inoc:0.000"
"F";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.126";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.158";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.199";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.251";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.316";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.397";"Ec_W3110Z1;Glc:119.880;Ace:0.000;aTc:0;inoc:0.500";"blank;Glc:119.880;Ace:0.000;aTc:0;inoc:0.000"
