"";"1";"2";"3";"4";"5";"6";"7";"8"
"A";"Ec_W3110Z1;Glc:0.000;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:2.854;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:5.709;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:8.563;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:11.417;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:14.271;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:17.126;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:19.980;Ace:0.000;aTc:0"
"B";"Ec_W3110Z1;Glc:0.000;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:2.854;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:5.709;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:8.563;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:11.417;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:14.271;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:17.126;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:19.980;Ace:0.000;aTc:0"
"C";"Ec_W3110Z1;Glc:0.000;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:2.854;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:5.709;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:8.563;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:11.417;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:14.271;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:17.126;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:19.980;Ace:0.000;aTc:0"
"D";"Ec_W3110Z1;Glc:22.834;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:25.689;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:28.543;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:31.397;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:34.251;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:37.106;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:39.960;Ace:0.000;aTc:0";"blank;Glc:0.000;Ace:0.000;aTc:0"
"E";"Ec_W3110Z1;Glc:22.834;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:25.689;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:28.543;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:31.397;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:34.251;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:37.106;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:39.960;Ace:0.000;aTc:0";"blank;Glc:19.980;Ace:0.000;aTc:0"
"F";"Ec_W3110Z1;Glc:22.834;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:25.689;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:28.543;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:31.397;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:34.251;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:37.106;Ace:0.000;aTc:0";"Ec_W3110Z1;Glc:39.960;Ace:0.000;aTc:0";"blank;Glc:39.960;Ace:0.000;aTc:0"
